setting,mean_reward,std_reward,mean_visual_severity,mean_effective_obs_noise_std
clean,1000.0,0.0,0.0,0.0
blurred,1000.0,0.0,0.0005984645863354672,0.001496161465838668
noisy,50.6,27.810789273229915,0.04940030976334815,0.12350077440837037
occluded,1000.0,0.0,0.003064702611300163,0.007661756528250407
dark,1000.0,0.0,0.001964234676910564,0.0049105866922764104
bright,1000.0,0.0,0.0034205792306922374,0.008551448076730594
