timesteps,episode_reward
7866,41.0
7940,74.0
8011,71.0
8038,27.0
8075,37.0
8160,85.0
8167,7.0
8209,42.0
8297,88.0
8347,50.0
8377,30.0
8421,44.0
8503,82.0
8528,25.0
8561,33.0
8648,87.0
8713,65.0
8807,94.0
8865,58.0
8991,126.0
9057,66.0
9151,94.0
9243,92.0
9317,74.0
9436,119.0
9568,132.0
9733,165.0
9776,43.0
9853,77.0
9931,78.0
9993,62.0
10054,61.0
10169,115.0
10235,66.0
10358,123.0
10459,101.0
10537,78.0
10655,118.0
10763,108.0
10836,73.0
10976,140.0
11034,58.0
11105,71.0
11169,64.0
11307,138.0
11457,150.0
11578,121.0
11667,89.0
11810,143.0
11962,152.0
12059,97.0
12153,94.0
12246,93.0
12398,152.0
12621,223.0
12802,181.0
12989,187.0
13124,135.0
13185,61.0
13238,53.0
13347,109.0
13459,112.0
13566,107.0
13737,171.0
13832,95.0
14083,251.0
14273,190.0
14557,284.0
14845,288.0
14928,83.0
15114,186.0
15239,125.0
15725,486.0
15927,202.0
16094,167.0
17094,1000.0
17235,141.0
17955,720.0
18152,197.0
18399,247.0
18722,323.0
19158,436.0
20158,1000.0
20872,714.0
21872,1000.0
22872,1000.0
23872,1000.0
24227,355.0
25227,1000.0
26227,1000.0
27227,1000.0
28227,1000.0
29227,1000.0
30173,946.0
31173,1000.0
32173,1000.0
33173,1000.0
34137,964.0
35137,1000.0
36137,1000.0
37137,1000.0
38137,1000.0
39137,1000.0
40137,1000.0
41137,1000.0
42137,1000.0
43137,1000.0
44137,1000.0
45137,1000.0
46137,1000.0
47137,1000.0
48137,1000.0
49137,1000.0
50137,1000.0
